Age,Gender,Weight (kg),Height (m),Max_BPM,Avg_BPM,Resting_BPM,Session_Duration (hours),Calories_Burned,Workout_Type,Fat_Percentage,Water_Intake (liters),Workout_Frequency (days/week),Experience_Level,BMI,Bmi_Category,dutration_min,calories_per_min,workout_intensity
56,Male,88.3,1.71,180,157,60,1.69,1313,Yoga,12.6,3.5,4,3,30.2,Overweight,101.4,12.94871795,High
46,Female,74.9,1.53,179,151,66,1.3,883,HIIT,33.9,2.1,4,2,32,Overweight,78,11.32051282,High
32,Female,68.1,1.66,167,122,54,1.11,677,Cardio,33.4,2.3,4,2,24.71,Normal,66.6,10.16516517,High
25,Male,53.2,1.7,190,164,56,0.59,532,Strength,28.8,2.1,3,1,18.41,Underweight,35.4,15.02824859,Medium
38,Male,46.1,1.79,188,158,68,0.64,556,Strength,29.2,2.8,3,1,14.39,Underweight,38.4,14.47916667,Medium
56,Female,58,1.68,168,156,74,1.59,1116,HIIT,15.5,2.7,5,3,20.55,Normal,95.4,11.69811321,High
36,Male,70.3,1.72,174,169,73,1.49,1385,Cardio,21.3,2.3,3,2,23.76,Normal,89.4,15.49217002,High
40,Female,69.7,1.51,189,141,64,1.27,895,Cardio,30.6,1.9,3,2,30.57,Overweight,76.2,11.74540682,High
28,Male,121.7,1.94,185,127,52,1.03,719,Strength,28.9,2.6,4,2,32.34,Overweight,61.8,11.63430421,High
28,Male,101.8,1.84,169,136,64,1.08,808,Cardio,29.7,2.7,3,1,30.07,Overweight,64.8,12.4691358,High
41,Male,120.8,1.67,188,146,54,0.82,593,HIIT,20.5,3,2,1,43.31,Overweight,49.2,12.05284553,Medium
53,Male,51.7,1.7,175,152,72,1.15,865,HIIT,23.6,3.5,3,2,17.89,Underweight,69,12.53623188,High
57,Male,112.5,1.61,195,165,61,1.24,1013,Cardio,22.1,2.7,3,2,43.4,Overweight,74.4,13.6155914,High
41,Male,94.5,2,179,136,69,1.18,794,HIIT,27.6,3.7,3,1,23.62,Normal,70.8,11.21468927,High
20,Male,117.7,1.81,196,161,54,1.35,1195,Yoga,26.4,3.3,3,2,35.93,Overweight,81,14.75308642,High
39,Female,42.5,1.75,181,131,52,1.13,740,Strength,26.2,2.1,2,1,13.88,Underweight,67.8,10.91445428,High
19,Female,64,1.53,166,167,58,1.33,1111,HIIT,29.8,2.3,3,2,27.34,Obese,79.8,13.92230576,High
41,Female,43.8,1.77,182,165,58,1.19,884,Cardio,31.9,1.6,3,1,13.98,Underweight,71.4,12.38095238,High
47,Female,66.8,1.75,199,146,56,1.13,742,Strength,32.8,2.5,3,2,21.81,Normal,67.8,10.9439528,High
55,Female,75.2,1.67,188,167,51,1.37,1030,HIIT,25.2,2.2,2,1,26.96,Obese,82.2,12.53041363,High
19,Male,89,1.77,175,127,72,1.5,1048,Strength,28.9,3.7,4,2,28.41,Obese,90,11.64444444,High
38,Male,71.9,1.77,197,142,72,1.12,875,Cardio,25.7,3.1,2,1,22.95,Normal,67.2,13.02083333,High
50,Female,71,1.68,187,161,70,1.17,848,Yoga,33.1,2.5,2,1,25.16,Obese,70.2,12.07977208,High
29,Male,120.9,1.78,197,168,65,0.78,721,Yoga,28.1,3.4,2,1,38.16,Overweight,46.8,15.40598291,Medium
39,Female,64.3,1.69,190,148,58,1.25,925,HIIT,26.9,1.9,4,2,22.51,Normal,75,12.33333333,High
42,Female,63.7,1.71,173,169,62,1.42,1080,Yoga,26.1,1.8,3,2,21.78,Normal,85.2,12.67605634,High
44,Male,65.2,1.8,192,139,68,0.73,502,HIIT,27.2,2.7,2,1,20.12,Normal,43.8,11.46118721,Medium
59,Male,53.9,1.75,168,135,69,1.48,989,Strength,21.6,2.8,4,2,17.6,Underweight,88.8,11.13738739,High
45,Male,84.9,1.86,186,136,66,1.64,1104,HIIT,14.2,3.5,5,3,24.54,Normal,98.4,11.2195122,High
33,Female,78,1.68,183,135,55,1.29,871,HIIT,32.3,1.8,3,2,27.64,Obese,77.4,11.25322997,High
32,Male,108.2,1.8,172,138,53,1.27,964,HIIT,28.4,3.5,3,1,33.4,Overweight,76.2,12.65091864,High
20,Female,65.4,1.52,185,127,50,1.03,654,Yoga,28,2.2,4,2,28.31,Obese,61.8,10.58252427,High
54,Female,50.2,1.61,188,157,67,1.48,1046,HIIT,28.2,2.7,2,1,19.37,Normal,88.8,11.77927928,High
24,Female,58.9,1.51,187,157,68,1.04,816,Cardio,31.7,2.5,2,1,25.83,Obese,62.4,13.07692308,High
38,Male,81.4,1.71,187,148,58,1.52,1237,HIIT,10.2,3.5,5,3,27.84,Obese,91.2,13.56359649,High
26,Male,127.6,1.73,167,160,62,1.32,1162,Strength,27.3,2.9,3,1,42.63,Overweight,79.2,14.67171717,High
56,Female,59.3,1.56,182,155,57,1.26,879,Cardio,33.4,2.6,4,2,24.37,Normal,75.6,11.62698413,High
35,Male,96.9,1.71,188,145,72,1.34,1069,Strength,24.2,2.9,3,2,33.14,Overweight,80.4,13.2960199,High
21,Male,62.6,1.81,164,150,62,1.3,1072,Strength,27.6,3.5,4,2,19.11,Normal,78,13.74358974,High
42,Male,45.5,1.6,166,163,64,1.31,1057,Strength,21.7,2.6,3,2,17.77,Underweight,78.6,13.44783715,High
31,Female,48.8,1.51,195,131,60,1.48,969,Cardio,28.2,2,2,1,21.4,Normal,88.8,10.91216216,High
26,Female,44.3,1.6,186,136,61,1.08,734,Cardio,34.7,2,3,1,17.3,Underweight,64.8,11.32716049,High
43,Male,113.2,1.83,161,134,63,1.45,962,Yoga,29.9,2.9,4,2,33.8,Overweight,87,11.05747126,High
19,Female,60.5,1.59,184,128,53,1.14,730,Cardio,30.1,2.2,2,1,23.93,Normal,68.4,10.67251462,High
37,Male,124.2,1.76,168,158,50,1.5,1304,HIIT,29.3,2.8,2,1,40.1,Overweight,90,14.48888889,High
45,Male,52.4,1.85,186,161,73,1.2,956,Strength,25.2,2.5,3,1,15.31,Underweight,72,13.27777778,High
24,Male,54.7,1.74,160,167,53,0.84,772,Yoga,22.9,3.6,3,1,18.07,Underweight,50.4,15.31746032,Medium
25,Male,88.1,1.95,182,131,68,1.41,1016,Cardio,22.7,3,2,1,23.17,Normal,84.6,12.00945626,High
52,Female,59.7,1.71,169,151,58,1.23,836,Strength,34.3,2,3,1,20.42,Normal,73.8,11.32791328,High
31,Female,79.7,1.54,184,144,59,1.03,742,Cardio,26.7,2.3,4,2,33.61,Overweight,61.8,12.00647249,High
34,Female,51,1.62,162,158,53,1.42,1122,Yoga,30.8,2.4,3,2,19.43,Normal,85.2,13.16901408,High
53,Male,84.2,1.76,165,137,69,1.67,1133,Cardio,12.8,3.5,5,3,27.18,Obese,100.2,11.30738523,High
57,Male,122.1,1.89,165,134,58,1.13,750,Cardio,27.4,3.6,3,1,34.18,Overweight,67.8,11.0619469,High
21,Male,96.7,1.72,161,151,62,1.26,1046,Strength,25,2.8,3,1,32.69,Overweight,75.6,13.83597884,High
19,Female,73,1.79,177,125,61,0.81,506,HIIT,27.7,1.6,3,1,22.78,Normal,48.6,10.41152263,Medium
